EDGE_Cred,Scheduling Policy,DNN,Batch size,Number of tiles,EDGE DSEs,SERVER DSEs,BWs,SERVER Time,EDGE Time,Server recv ninsts,Edge recv ninsts
nxc@192.168.1.25,spinn,yolov3,1,100,8,1,70,0.978984,1.212917,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,1,70,0.968576,0.983922,113.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,1,100,8,1,70,0.735835,0.676176,626.000000,0.000000
nxc@192.168.1.25,spinn,yolov3,1,100,8,1,20,1.755729,1.991201,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,1,20,1.835544,1.850830,113.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,1,100,8,1,20,0.885717,0.644575,128.800000,0.000000
nxc@192.168.1.25,spinn,yolov3,1,100,8,1,1,23.648718,23.903227,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,1,1,24.058898,24.071664,113.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,1,100,8,1,1,17.432730,0.636792,128.000000,0.000000
nxc@192.168.1.25,spinn,yolov3,1,100,8,1,0.5,46.780831,47.166230,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,1,0.5,47.587816,47.626784,113.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,1,100,8,1,0.5,34.832327,0.630098,128.000000,0.000000
nxc@192.168.1.25,spinn,yolov3,1,100,8,8,70,0.943229,1.174128,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,8,70,1.030843,1.043886,113.000000,0.100000
